DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW,,,
Mar-02,$50.00,$40.00,$40.00,$40.00,$50.00,$60.00,$60.00,$60.00,,,
Feb-02,$55.71,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,$60.00,,,
Jan-02,$55.71,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,$60.00,,,
Dec-01,$55.71,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,$60.00,,,
Nov-01,$54.29,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,,,
Oct-01,$54.29,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,,,
Sep-01,$54.29,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,,,
Aug-01,$54.29,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,,,
Jul-01,$54.29,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,,,
Jun-01,$54.29,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,,,
May-01,$54.29,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,,,
Apr-01,$56.43,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Mar-01,$57.14,$55.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Feb-01,$57.14,$55.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Jan-01,$56.43,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Dec-00,$56.43,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Nov-00,$60.71,$50.00,$50.00,$50.00,$50.00,$75.00,$75.00,$75.00,,,
Oct-00,$62.86,$50.00,$50.00,$50.00,$50.00,$80.00,$80.00,$80.00,,,
Sep-00,$62.86,$50.00,$50.00,$50.00,$50.00,$80.00,$80.00,$80.00,,,
Aug-00,$68.57,$60.00,$60.00,$60.00,$60.00,$80.00,$80.00,$80.00,,,
Jul-00,$125.71,$115.00,$115.00,$115.00,$115.00,$140.00,$140.00,$140.00,,,
Jun-00,$135.71,$125.00,$125.00,$125.00,$125.00,$150.00,$150.00,$150.00,,,
May-00,$140.00,$125.00,$125.00,$125.00,$125.00,$160.00,$160.00,$160.00,,,
Apr-00,$131.43,$125.00,$125.00,$125.00,$125.00,$140.00,$140.00,$140.00,,,
Mar-00,$131.43,$125.00,$125.00,$125.00,$125.00,$140.00,$140.00,$140.00,,,
Feb-00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,,,
Jan-00,$112.86,$115.00,$115.00,$115.00,$115.00,$110.00,$110.00,$110.00,,,
Dec-99,$110.00,$110.00,$110.00,$110.00,$110.00,$110.00,$110.00,$110.00,,,
Nov-99,$101.43,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$110.00,,,
Oct-99,$107.14,$110.00,$110.00,$110.00,$110.00,$100.00,$100.00,$110.00,,,
Sep-99,$107.14,$110.00,$110.00,$110.00,$110.00,$100.00,$100.00,$110.00,,,
Aug-99,$111.43,$110.00,$110.00,$110.00,$110.00,$110.00,$110.00,$120.00,,,
Jul-99,$120.00,$110.00,$110.00,$110.00,$110.00,$130.00,$130.00,$140.00,,,
